grid,position,points,year,name_circuits,driverRef,dob,name_constructors,status,regulamento,fastestLapTime,fastestLapSpeed,q1,q2,q3
1,1,25.0,2008,Albert Park Grand Prix Circuit,hamilton,1985-01-07,McLaren,Finished,2005-2008,87452.0,218.300,86572.0,85187.0,86714.0
5,2,18.0,2008,Albert Park Grand Prix Circuit,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,87739.0,217.586,86572.0,85187.0,86714.0
7,3,15.0,2008,Albert Park Grand Prix Circuit,rosberg,1985-06-27,Williams,Finished,2005-2008,88090.0,216.719,86572.0,85187.0,86714.0
11,4,12.0,2008,Albert Park Grand Prix Circuit,alonso,1981-07-29,Renault,Finished,2005-2008,88603.0,215.464,86572.0,85187.0,86714.0
3,5,10.0,2008,Albert Park Grand Prix Circuit,kovalainen,1981-10-19,McLaren,Finished,2005-2008,87418.0,218.385,86572.0,85187.0,86714.0
13,6,8.0,2008,Albert Park Grand Prix Circuit,nakajima,1985-01-11,Williams,+1 Lap,2005-2008,89639.0,212.974,86572.0,85187.0,86714.0
17,7,6.0,2008,Albert Park Grand Prix Circuit,bourdais,1979-02-28,Toro Rosso,Engine,2005-2008,89534.0,213.224,86572.0,85187.0,86714.0
15,8,4.0,2008,Albert Park Grand Prix Circuit,raikkonen,1979-10-17,Ferrari,Engine,2005-2008,87903.0,217.180,86572.0,85187.0,86714.0
2,-1,0.0,2008,Albert Park Grand Prix Circuit,kubica,1984-12-07,BMW Sauber,Collision,2005-2008,88753.0,215.100,86572.0,85187.0,86714.0
18,-1,0.0,2008,Albert Park Grand Prix Circuit,glock,1982-03-18,Toyota,Accident,2005-2008,89558.0,213.166,86572.0,85187.0,86714.0
19,-1,0.0,2008,Albert Park Grand Prix Circuit,sato,1977-01-28,Super Aguri,Transmission,2005-2008,90892.0,210.038,86572.0,85187.0,86714.0
20,-1,0.0,2008,Albert Park Grand Prix Circuit,piquet_jr,1985-07-25,Renault,Clutch,2005-2008,91384.0,208.907,86572.0,85187.0,86714.0
4,-1,0.0,2008,Albert Park Grand Prix Circuit,massa,1981-04-25,Ferrari,Engine,2005-2008,88175.0,216.510,86572.0,85187.0,86714.0
8,-1,0.0,2008,Albert Park Grand Prix Circuit,coulthard,1971-03-27,Red Bull,Collision,2005-2008,89502.0,213.300,86572.0,85187.0,86714.0
6,-1,0.0,2008,Albert Park Grand Prix Circuit,trulli,1974-07-13,Toyota,Electrical,2005-2008,89310.0,213.758,86572.0,85187.0,86714.0
22,-1,0.0,2008,Albert Park Grand Prix Circuit,sutil,1983-01-11,Force India,Hydraulics,2005-2008,92021.0,207.461,86572.0,85187.0,86714.0
14,-1,0.0,2008,Albert Park Grand Prix Circuit,webber,1976-08-27,Red Bull,Collision,2005-2008,0.0,0.0,86572.0,85187.0,86714.0
12,-1,0.0,2008,Albert Park Grand Prix Circuit,button,1980-01-19,Honda,Collision,2005-2008,0.0,0.0,86572.0,85187.0,86714.0
21,-1,0.0,2008,Albert Park Grand Prix Circuit,davidson,1979-04-18,Super Aguri,Collision,2005-2008,0.0,0.0,86572.0,85187.0,86714.0
9,-1,0.0,2008,Albert Park Grand Prix Circuit,vettel,1987-07-03,Toro Rosso,Collision,2005-2008,0.0,0.0,86572.0,85187.0,86714.0
16,-1,0.0,2008,Albert Park Grand Prix Circuit,fisichella,1973-01-14,Force India,Collision,2005-2008,0.0,0.0,86572.0,85187.0,86714.0
10,-1,0.0,2008,Albert Park Grand Prix Circuit,barrichello,1972-05-23,Honda,Disqualified,2005-2008,88736.0,215.141,86572.0,85187.0,86714.0
2,1,25.0,2008,Sepang International Circuit,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,95405.0,209.158,95347.0,94412.0,95748.0
4,2,18.0,2008,Sepang International Circuit,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,95921.0,208.033,95347.0,94412.0,95748.0
8,3,15.0,2008,Sepang International Circuit,kovalainen,1981-10-19,McLaren,Finished,2005-2008,95922.0,208.031,95347.0,94412.0,95748.0
3,4,12.0,2008,Sepang International Circuit,trulli,1974-07-13,Toyota,Finished,2005-2008,96068.0,207.715,95347.0,94412.0,95748.0
9,5,10.0,2008,Sepang International Circuit,hamilton,1985-01-07,McLaren,Finished,2005-2008,95462.0,209.033,95347.0,94412.0,95748.0
5,6,8.0,2008,Sepang International Circuit,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,95366.0,209.244,95347.0,94412.0,95748.0
6,7,6.0,2008,Sepang International Circuit,webber,1976-08-27,Red Bull,Finished,2005-2008,96696.0,206.366,95347.0,94412.0,95748.0
7,8,4.0,2008,Sepang International Circuit,alonso,1981-07-29,Renault,Finished,2005-2008,96288.0,207.240,95347.0,94412.0,95748.0
12,9,2.0,2008,Sepang International Circuit,coulthard,1971-03-27,Red Bull,Finished,2005-2008,96206.0,207.417,95347.0,94412.0,95748.0
11,10,1.0,2008,Sepang International Circuit,button,1980-01-19,Honda,Finished,2005-2008,95715.0,208.481,95347.0,94412.0,95748.0
13,11,0.0,2008,Sepang International Circuit,piquet_jr,1985-07-25,Renault,Finished,2005-2008,96956.0,205.812,95347.0,94412.0,95748.0
17,12,0.0,2008,Sepang International Circuit,fisichella,1973-01-14,Force India,+1 Lap,2005-2008,96962.0,205.800,95347.0,94412.0,95748.0
14,13,0.0,2008,Sepang International Circuit,barrichello,1972-05-23,Honda,+1 Lap,2005-2008,96693.0,206.372,95347.0,94412.0,95748.0
16,14,0.0,2008,Sepang International Circuit,rosberg,1985-06-27,Williams,+1 Lap,2005-2008,96782.0,206.182,95347.0,94412.0,95748.0
21,15,0.0,2008,Sepang International Circuit,davidson,1979-04-18,Super Aguri,+1 Lap,2005-2008,98171.0,203.265,95347.0,94412.0,95748.0
19,16,0.0,2008,Sepang International Circuit,sato,1977-01-28,Super Aguri,+2 Laps,2005-2008,98504.0,202.578,95347.0,94412.0,95748.0
22,17,0.0,2008,Sepang International Circuit,nakajima,1985-01-11,Williams,+2 Laps,2005-2008,97711.0,204.222,95347.0,94412.0,95748.0
15,-1,0.0,2008,Sepang International Circuit,vettel,1987-07-03,Toro Rosso,Engine,2005-2008,96870.0,205.995,95347.0,94412.0,95748.0
1,-1,0.0,2008,Sepang International Circuit,massa,1981-04-25,Ferrari,Spun off,2005-2008,95914.0,208.048,95347.0,94412.0,95748.0
20,-1,0.0,2008,Sepang International Circuit,sutil,1983-01-11,Force India,Hydraulics,2005-2008,100330.0,198.891,95347.0,94412.0,95748.0
10,-1,0.0,2008,Sepang International Circuit,glock,1982-03-18,Toyota,Collision,2005-2008,0.0,0.0,95347.0,94412.0,95748.0
18,-1,0.0,2008,Sepang International Circuit,bourdais,1979-02-28,Toro Rosso,Spun off,2005-2008,0.0,0.0,95347.0,94412.0,95748.0
2,1,25.0,2008,Bahrain International Circuit,massa,1981-04-25,Ferrari,Finished,2005-2008,93600.0,208.153,92893.0,91745.0,93096.0
4,2,18.0,2008,Bahrain International Circuit,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,93709.0,207.911,92893.0,91745.0,93096.0
1,3,15.0,2008,Bahrain International Circuit,kubica,1984-12-07,BMW Sauber,Finished,2005-2008,93775.0,207.765,92893.0,91745.0,93096.0
6,4,12.0,2008,Bahrain International Circuit,heidfeld,1977-05-10,BMW Sauber,Finished,2005-2008,93565.0,208.231,92893.0,91745.0,93096.0
5,5,10.0,2008,Bahrain International Circuit,kovalainen,1981-10-19,McLaren,Finished,2005-2008,93193.0,209.062,92893.0,91745.0,93096.0
7,6,8.0,2008,Bahrain International Circuit,trulli,1974-07-13,Toyota,Finished,2005-2008,94204.0,206.819,92893.0,91745.0,93096.0
11,7,6.0,2008,Bahrain International Circuit,webber,1976-08-27,Red Bull,Finished,2005-2008,94305.0,206.597,92893.0,91745.0,93096.0
8,8,4.0,2008,Bahrain International Circuit,rosberg,1985-06-27,Williams,Finished,2005-2008,94072.0,207.109,92893.0,91745.0,93096.0
13,9,2.0,2008,Bahrain International Circuit,glock,1982-03-18,Toyota,Finished,2005-2008,94807.0,205.503,92893.0,91745.0,93096.0
10,10,1.0,2008,Bahrain International Circuit,alonso,1981-07-29,Renault,Finished,2005-2008,95194.0,204.668,92893.0,91745.0,93096.0
12,11,0.0,2008,Bahrain International Circuit,barrichello,1972-05-23,Honda,Finished,2005-2008,94855.0,205.399,92893.0,91745.0,93096.0
18,12,0.0,2008,Bahrain International Circuit,fisichella,1973-01-14,Force India,+1 Lap,2005-2008,95057.0,204.963,92893.0,91745.0,93096.0
3,13,0.0,2008,Bahrain International Circuit,hamilton,1985-01-07,McLaren,+1 Lap,2005-2008,95520.0,203.969,92893.0,91745.0,93096.0
16,14,0.0,2008,Bahrain International Circuit,nakajima,1985-01-11,Williams,+1 Lap,2005-2008,95433.0,204.155,92893.0,91745.0,93096.0
15,15,0.0,2008,Bahrain International Circuit,bourdais,1979-02-28,Toro Rosso,+1 Lap,2005-2008,95333.0,204.369,92893.0,91745.0,93096.0
21,16,0.0,2008,Bahrain International Circuit,davidson,1979-04-18,Super Aguri,+1 Lap,2005-2008,95324.0,204.389,92893.0,91745.0,93096.0
22,17,0.0,2008,Bahrain International Circuit,sato,1977-01-28,Super Aguri,+1 Lap,2005-2008,95891.0,203.180,92893.0,91745.0,93096.0
17,18,0.0,2008,Bahrain International Circuit,coulthard,1971-03-27,Red Bull,+1 Lap,2005-2008,95351.0,204.331,92893.0,91745.0,93096.0
20,19,0.0,2008,Bahrain International Circuit,sutil,1983-01-11,Force India,+2 Laps,2005-2008,95442.0,204.136,92893.0,91745.0,93096.0
14,-1,0.0,2008,Bahrain International Circuit,piquet_jr,1985-07-25,Renault,Gearbox,2005-2008,95129.0,204.808,92893.0,91745.0,93096.0
9,-1,0.0,2008,Bahrain International Circuit,button,1980-01-19,Honda,Collision,2005-2008,96125.0,202.686,92893.0,91745.0,93096.0
19,-1,0.0,2008,Bahrain International Circuit,vettel,1987-07-03,Toro Rosso,Engine,2005-2008,0.0,0.0,92893.0,91745.0,93096.0
1,1,25.0,2008,Circuit de Barcelona-Catalunya,raikkonen,1979-10-17,Ferrari,Finished,2005-2008,81670.0,205.191,80701.0,80784.0,81813.0
